Reference Number,Easting,Northing,Number of Vehicles,Number of Casualties,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
10CA0000522,428584,427728,1,1,21-Jan-10,1220,3,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,55,21
10CA0000541,433672,429612,2,1,21-Jan-10,0730,3,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,57,9
10AA0000488,424614,435108,2,1,22-Jan-10,1300,3,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,49,9
10AA0000602,428649,433174,2,1,22-Jan-10,1500,3,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,32,9
10BA0005204,445690,431405,2,2,22-Jan-10,0715,3,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver,Slight,Female,22,9
10BA0005204,445690,431405,2,2,22-Jan-10,0715,3,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver,Slight,Male,47,9
10CA0000500,431964,430482,2,1,22-Jan-10,1549,3,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,22,9
10CA0000520,425794,429763,1,2,22-Jan-10,2035,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,25,9
10CA0000520,425794,429763,1,2,22-Jan-10,2035,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Male,29,9
10CA0000536,430560,434089,2,1,22-Jan-10,1250,6,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,31,19
10CA0000538,430070,433366,1,1,22-Jan-10,0528,6,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Male,30,8
10CA0000542,429739,432940,5,1,22-Jan-10,1340,6,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,52,9
10MU0000551,426342,426035,2,2,22-Jan-10,0808,1,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,43,9
10MU0000551,426342,426035,2,2,22-Jan-10,0808,1,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,38,9
